"","CITY","COUNTY","PIN","YEAR","NUMSTUDS","WHITE","BLACK","DISTRICT","YEAR_LIFTED","region","DISMISSED","PRIVATE"
"3220","PELL CITY","SHELBY COUNTY","AA890012","2003",512,500,7,"PELL CITY","STILL OPEN","CITY",0,1
"3221","PELL CITY","ST CLAIR COUNTY","00002686","1993",202,199,2,"PELL CITY","STILL OPEN","CITY",0,1
"3222","PELL CITY","ST CLAIR COUNTY","00002686","1995",158,158,0,"PELL CITY","STILL OPEN","CITY",0,1
"3223","PELL CITY","ST. CLAIR COUNTY","AA000666","1999",14,9,5,"PELL CITY","STILL OPEN","CITY",0,1
"3224","PELL CITY","ST. CLAIR COUNTY","A0900030","2011",11,10,1,"PELL CITY","STILL OPEN","CITY",0,1
"3225","PELL CITY","ST. CLAIR COUNTY","A0100052","2001",113,0,0,"PELL CITY","STILL OPEN","CITY",0,1
"3226","PELL CITY","ST. CLAIR COUNTY","A0100052","2009",70,70,0,"PELL CITY","STILL OPEN","CITY",0,1
"3227","PELL CITY","ST. CLAIR COUNTY","A0100052","2011",51,50,0,"PELL CITY","STILL OPEN","CITY",0,1
"3228","PELL CITY","ST. CLAIR COUNTY","A0900030","2009",10,8,1,"PELL CITY","STILL OPEN","CITY",0,1
"3229","PELL CITY","ST. CLAIR COUNTY","K9300013","1997",22,22,0,"PELL CITY","STILL OPEN","CITY",0,1
"3230","PELL CITY","ST. CLAIR COUNTY","K9300013","1999",25,24,1,"PELL CITY","STILL OPEN","CITY",0,1
"3231","PELL CITY","ST. CLAIR COUNTY","A0900054","2009",6,5,1,"PELL CITY","STILL OPEN","CITY",0,1
"3232","PELL CITY","ST. CLAIR COUNTY","A0100052","2005",85,84,0,"PELL CITY","STILL OPEN","CITY",0,1
"3233","PELL CITY","ST. CLAIR COUNTY","AA000666","2003",21,12,9,"PELL CITY","STILL OPEN","CITY",0,1
"3234","PELL CITY","ST. CLAIR COUNTY","A0900054","2011",5,4,1,"PELL CITY","STILL OPEN","CITY",0,1
"3235","PELL CITY","ST. CLAIR COUNTY","AA000666","2001",17,12,5,"PELL CITY","STILL OPEN","CITY",0,1
"3236","PELL CITY","ST. CLAIR COUNTY","K9300013","1995",31,31,0,"PELL CITY","STILL OPEN","CITY",0,1
"3237","PELL CITY","ST. CLAIR COUNTY","A0100052","2007",71,71,0,"PELL CITY","STILL OPEN","CITY",0,1
"3238","PELL CITY","ST. CLAIR COUNTY","AA000666","1997",50,35,14,"PELL CITY","STILL OPEN","CITY",0,1
"3239","PELL CITY","ST. CLAIR COUNTY","AA000666","1993",62,54,8,"PELL CITY","STILL OPEN","CITY",0,1
"3240","PELL CITY","ST. CLAIR COUNTY","A0100052","2003",89,87,2,"PELL CITY","STILL OPEN","CITY",0,1
"3241","PELL CITY","ST. CLAIR COUNTY","AA000666","1995",42,35,6,"PELL CITY","STILL OPEN","CITY",0,1
"3242","PELL CITY","ST. CLAIR COUNTY","K9300013","2001",14,14,0,"PELL CITY","STILL OPEN","CITY",0,1
"3243","PELL CITY","ST. CLAIR COUNTY","A0100052","2013",65,65,0,"PELL CITY","STILL OPEN","CITY",0,1
"3244","PELL CITY","ST. CLAIR COUNTY","K9300013","2003",13,13,0,"PELL CITY","STILL OPEN","CITY",0,1
"3245","PELL CITY","ST. CLAIR COUNTY","A0900030","2013",13,13,0,"PELL CITY","STILL OPEN","CITY",0,1
"3246","PHENIX CITY","LEE COUNTY","00000962","2009",393,365,15,"PHENIX CITY","2005","CITY",1,1
"3247","PHENIX CITY","LEE COUNTY","A9900059","2001",14,14,0,"PHENIX CITY","2005","CITY",1,1
"3248","PHENIX CITY","LEE COUNTY","00000962","2007",492,451,31,"PHENIX CITY","2005","CITY",1,1
"3249","PHENIX CITY","LEE COUNTY","A9900059","1999",12,12,0,"PHENIX CITY","2005","CITY",1,1
"3250","PHENIX CITY","LEE COUNTY","A9900059","2005",10,10,0,"PHENIX CITY","2005","CITY",1,1
"3251","PHENIX CITY","LEE COUNTY","A9900059","2011",6,6,0,"PHENIX CITY","2005","CITY",1,1
"3252","PHENIX CITY","LEE COUNTY","A9900059","2009",6,6,0,"PHENIX CITY","2005","CITY",1,1
"3253","PHENIX CITY","LEE COUNTY","A9900059","2013",20,20,0,"PHENIX CITY","2005","CITY",1,1
"3254","PHENIX CITY","LEE COUNTY","00000962","2005",560,525,18,"PHENIX CITY","2005","CITY",1,1
"3255","PHENIX CITY","LEE COUNTY","A9900059","2003",9,5,0,"PHENIX CITY","2005","CITY",1,1
"3256","PHENIX CITY","LEE COUNTY","00000962","1993",342,330,1,"PHENIX CITY","2005","CITY",1,1
"3257","PHENIX CITY","LEE COUNTY","A9900059","2007",7,7,0,"PHENIX CITY","2005","CITY",1,1
"3258","PHENIX CITY","LEE COUNTY","00000962","2003",547,544,3,"PHENIX CITY","2005","CITY",1,1
"3259","PHENIX CITY","LEE COUNTY","00000962","1995",467,455,4,"PHENIX CITY","2005","CITY",1,1
"3260","PHENIX CITY","RUSSELL COUNTY","A0100378","2009",46,32,4,"PHENIX CITY","2005","CITY",1,1
"3261","PHENIX CITY","RUSSELL COUNTY","A9300002","2011",36,17,17,"PHENIX CITY","2005","CITY",1,1
"3262","PHENIX CITY","RUSSELL COUNTY","00000678","1993",149,0,149,"PHENIX CITY","2005","CITY",1,1
"3263","PHENIX CITY","RUSSELL COUNTY","A9300002","2009",35,23,12,"PHENIX CITY","2005","CITY",1,1
"3264","PHENIX CITY","RUSSELL COUNTY","00000678","2011",37,1,33,"PHENIX CITY","2005","CITY",1,1
"3265","PHENIX CITY","RUSSELL COUNTY","00000678","2009",60,0,49,"PHENIX CITY","2005","CITY",1,1
"3266","PHENIX CITY","RUSSELL COUNTY","A9300002","1997",93,84,6,"PHENIX CITY","2005","CITY",1,1
"3267","PHENIX CITY","RUSSELL COUNTY","00000678","2007",88,82,3,"PHENIX CITY","2005","CITY",1,1
"3268","PHENIX CITY","RUSSELL COUNTY","A0100378","2003",56,46,2,"PHENIX CITY","2005","CITY",1,1
"3269","PHENIX CITY","RUSSELL COUNTY","A0100378","2013",84,40,26,"PHENIX CITY","2005","CITY",1,1
"3270","PHENIX CITY","RUSSELL COUNTY","A0770105","2007",81,72,7,"PHENIX CITY","2005","CITY",1,1
"3271","PHENIX CITY","RUSSELL COUNTY","A0500023","2009",114,90,15,"PHENIX CITY","2005","CITY",1,1
"3272","PHENIX CITY","RUSSELL COUNTY","A0500023","2011",51,39,10,"PHENIX CITY","2005","CITY",1,1
"3273","PHENIX CITY","RUSSELL COUNTY","A9300002","1995",178,170,8,"PHENIX CITY","2005","CITY",1,1
"3274","PHENIX CITY","RUSSELL COUNTY","A0100378","2011",58,41,5,"PHENIX CITY","2005","CITY",1,1
"3275","PHENIX CITY","RUSSELL COUNTY","00000678","1995",117,0,117,"PHENIX CITY","2005","CITY",1,1
"3276","PHENIX CITY","RUSSELL COUNTY","00000678","1997",135,3,129,"PHENIX CITY","2005","CITY",1,1
"3277","PHENIX CITY","RUSSELL COUNTY","00000678","2005",88,3,83,"PHENIX CITY","2005","CITY",1,1
"3278","PHENIX CITY","RUSSELL COUNTY","A0500023","2005",27,22,5,"PHENIX CITY","2005","CITY",1,1
"3279","PHENIX CITY","RUSSELL COUNTY","A9300002","2003",47,38,9,"PHENIX CITY","2005","CITY",1,1
"3280","PHENIX CITY","RUSSELL COUNTY","00000678","2001",111,1,110,"PHENIX CITY","2005","CITY",1,1
"3281","PHENIX CITY","RUSSELL COUNTY","A9300002","2007",24,19,3,"PHENIX CITY","2005","CITY",1,1
"3282","PHENIX CITY","RUSSELL COUNTY","A9300002","2005",21,16,3,"PHENIX CITY","2005","CITY",1,1
"3283","PHENIX CITY","RUSSELL COUNTY","A1100016","2011",10,3,7,"PHENIX CITY","2005","CITY",1,1
"3284","PHENIX CITY","RUSSELL COUNTY","A0100378","2007",34,24,3,"PHENIX CITY","2005","CITY",1,1
"3285","PHENIX CITY","RUSSELL COUNTY","A9300002","1993",199,183,10,"PHENIX CITY","2005","CITY",1,1
"3286","PHENIX CITY","RUSSELL COUNTY","A9300002","2001",68,54,14,"PHENIX CITY","2005","CITY",1,1
"3287","PHENIX CITY","RUSSELL COUNTY","A0100119","2001",20,0,19,"PHENIX CITY","2005","CITY",1,1
"3288","PHENIX CITY","RUSSELL COUNTY","A1100016","2013",47,7,40,"PHENIX CITY","2005","CITY",1,1
"3289","PHENIX CITY","RUSSELL COUNTY","00000678","2003",108,4,101,"PHENIX CITY","2005","CITY",1,1
"3290","PHENIX CITY","RUSSELL COUNTY","A0100378","2005",57,42,5,"PHENIX CITY","2005","CITY",1,1
"3291","PHENIX CITY","RUSSELL COUNTY","A0100378","2001",770,733,8,"PHENIX CITY","2005","CITY",1,1
"3292","PHENIX CITY","RUSSELL COUNTY","A0100191","2001",24,12,0,"PHENIX CITY","2005","CITY",1,1
"3293","PHENIX CITY","RUSSELL COUNTY","A0500023","2007",85,69,16,"PHENIX CITY","2005","CITY",1,1
"3294","PHENIX CITY","RUSSELL COUNTY","A9300002","1999",100,95,5,"PHENIX CITY","2005","CITY",1,1
"3295","PHOENIX CITY","LEE COUNTY","00000962","2001",592,519,34,"LEE COUNTY","2005","COUNTY",1,1
"3296","PIEDMONT","CALHOUN COUNTY","A9302026","1997",31,14,15,"PIEDMONT CITY","STILL OPEN","CITY",0,1
"3297","PIEDMONT","CALHOUN COUNTY","A0100398","2005",15,15,0,"PIEDMONT CITY","STILL OPEN","CITY",0,1
"3298","PIEDMONT","CALHOUN COUNTY","A9302026","1999",31,8,23,"PIEDMONT CITY","STILL OPEN","CITY",0,1
"3299","PIEDMONT","CALHOUN COUNTY","A9302026","1995",31,18,10,"PIEDMONT CITY","STILL OPEN","CITY",0,1
"3300","PIEDMONT","CALHOUN COUNTY","A9302026","2001",37,16,20,"PIEDMONT CITY","STILL OPEN","CITY",0,1
"3301","PIEDMONT","CALHOUN COUNTY","A9302026","2003",46,20,25,"PIEDMONT CITY","STILL OPEN","CITY",0,1
"3302","PIEDMONT","CALHOUN COUNTY","A0100398","2003",24,23,1,"PIEDMONT CITY","STILL OPEN","CITY",0,1
"3303","PIEDMONT","CALHOUN COUNTY","A9302026","2005",76,37,36,"PIEDMONT CITY","STILL OPEN","CITY",0,1
"3304","PIEDMONT","CALHOUN COUNTY","A0100398","2001",23,22,1,"PIEDMONT CITY","STILL OPEN","CITY",0,1
"3305","PINSON","JEFFERSON COUNTY","A0100319","2007",24,22,1,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3306","PINSON","JEFFERSON COUNTY","A0100319","2013",63,55,8,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3307","PINSON","JEFFERSON COUNTY","A1170057","2011",15,13,2,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3308","PINSON","JEFFERSON COUNTY","A0100319","2011",61,54,5,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3309","PINSON","JEFFERSON COUNTY","A0307011","2003",22,21,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3310","PINSON","JEFFERSON COUNTY","A0100319","2009",28,27,1,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3311","PINSON","JEFFERSON COUNTY","A1170057","2013",10,7,1,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3312","PINSON","JEFFERSON COUNTY","A1150003","2011",37,37,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3313","PLEASANT GROVE","JEFFERSON COUNTY","A9900028","1999",94,91,2,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3314","PRATTVILLE","AUTAUGA COUNTY","00002722","1993",273,266,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3315","PRATTVILLE","AUTAUGA COUNTY","K9300030","1993",25,24,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3316","PRATTVILLE","AUTAUGA COUNTY","K9300030","1999",30,30,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3317","PRATTVILLE","AUTAUGA COUNTY","A9900082","1999",72,70,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3318","PRATTVILLE","AUTAUGA COUNTY","A0500015","2011",269,238,20,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3319","PRATTVILLE","AUTAUGA COUNTY","00002722","2007",202,198,4,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3320","PRATTVILLE","AUTAUGA COUNTY","K9300030","2007",19,18,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3321","PRATTVILLE","AUTAUGA COUNTY","00002722","2003",167,167,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3322","PRATTVILLE","AUTAUGA COUNTY","00002722","2005",158,155,3,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3323","PRATTVILLE","AUTAUGA COUNTY","K9300030","2005",21,21,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3324","PRATTVILLE","AUTAUGA COUNTY","A0100060","2005",11,10,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3325","PRATTVILLE","AUTAUGA COUNTY","A0500015","2005",254,242,9,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3326","PRATTVILLE","AUTAUGA COUNTY","K9300030","2013",20,19,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3327","PRATTVILLE","AUTAUGA COUNTY","A0100060","2013",12,10,2,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3328","PRATTVILLE","AUTAUGA COUNTY","A0900032","2013",12,12,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3329","PRATTVILLE","AUTAUGA COUNTY","K9300030","2011",14,14,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3330","PRATTVILLE","AUTAUGA COUNTY","A0100060","2011",10,10,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3331","PRATTVILLE","AUTAUGA COUNTY","A0100060","2009",12,9,3,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3332","PRATTVILLE","AUTAUGA COUNTY","A0500015","2009",319,290,27,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3333","PRATTVILLE","AUTAUGA COUNTY","A0900032","2009",12,9,2,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3334","PRATTVILLE","AUTAUGA COUNTY","A0100060","2007",11,10,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3335","PRATTVILLE","AUTAUGA COUNTY","A0500015","2007",331,302,26,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3336","PRATTVILLE","AUTAUGA COUNTY","K9300030","2003",24,24,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3337","PRATTVILLE","AUTAUGA COUNTY","00002722","2001",201,201,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3338","PRATTVILLE","AUTAUGA COUNTY","K9300030","2001",20,20,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3339","PRATTVILLE","AUTAUGA COUNTY","A9900082","2001",62,60,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3340","PRATTVILLE","AUTAUGA COUNTY","A0100060","2001",40,31,9,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3341","PRATTVILLE","AUTAUGA COUNTY","K9300030","1995",32,32,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3342","PRATTVILLE","AUTAUGA COUNTY","00002722","2009",199,196,3,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3343","PRATTVILLE","AUTAUGA COUNTY","K9300030","2009",8,8,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3344","PRATTVILLE","AUTAUGA COUNTY","00002722","2011",259,249,10,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3345","PRATTVILLE","AUTAUGA COUNTY","00002722","2013",284,265,16,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3346","PRATTVILLE","AUTAUGA COUNTY","A0900032","2011",12,12,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3347","PRATTVILLE","AUTAUGA COUNTY","00002722","1997",239,236,2,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3348","PRATTVILLE","AUTAUGA COUNTY","00002722","1995",255,248,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3349","PRATTVILLE","AUTAUGA COUNTY","A0100060","2003",20,19,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3350","PRATTVILLE","AUTAUGA COUNTY","00002722","1999",201,200,1,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3351","PRATTVILLE","AUTAUGA COUNTY","K9300030","1997",30,29,0,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3352","PRATTVILLE","ELMORE COUNTY","A0100330","2005",355,293,29,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3353","PRATTVILLE","ELMORE COUNTY","A0100330","2001",198,192,4,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3354","PRATTVILLE","ELMORE COUNTY","A0100330","2003",214,204,8,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3355","PRATTVILLE","ELMORE COUNTY","A0100330","2009",541,495,32,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3356","PRATTVILLE","ELMORE COUNTY","A0100330","2007",501,462,18,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3357","PRATTVILLE","ELMORE COUNTY","A0100330","2011",626,584,29,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3358","PRATTVILLE","ELMORE COUNTY","A0100330","2013",650,575,48,"AUTAUGA COUNTY","2005","COUNTY",1,1
"3359","PRICHARD","MOBILE COUNTY","A0792001","2007",21,0,21,"MOBILE COUNTY","1997","COUNTY",1,1
"3360","PRICHARD","MOBILE COUNTY","A0792001","2009",28,0,28,"MOBILE COUNTY","1997","COUNTY",1,1
"3361","PRICHARD","MOBILE COUNTY","A0100018","2001",71,0,71,"MOBILE COUNTY","1997","COUNTY",1,1
"3362","PRICHARD","MOBILE COUNTY","00000383","1997",171,0,171,"MOBILE COUNTY","1997","COUNTY",1,1
"3363","PRICHARD","MOBILE COUNTY","00002584","1995",44,0,44,"MOBILE COUNTY","1997","COUNTY",1,1
"3364","PRICHARD","MOBILE COUNTY","00002584","2001",23,0,23,"MOBILE COUNTY","1997","COUNTY",1,1
"3365","PRICHARD","MOBILE COUNTY","A0770128","2011",62,0,61,"MOBILE COUNTY","1997","COUNTY",1,1
"3366","PRICHARD","MOBILE COUNTY","A0770180","2011",6,4,2,"MOBILE COUNTY","1997","COUNTY",1,1
"3367","PRICHARD","MOBILE COUNTY","A0792001","2011",14,0,14,"MOBILE COUNTY","1997","COUNTY",1,1
"3368","PRICHARD","MOBILE COUNTY","00002584","1997",37,0,37,"MOBILE COUNTY","1997","COUNTY",1,1
"3369","PRICHARD","MOBILE COUNTY","00000383","2001",168,0,168,"MOBILE COUNTY","1997","COUNTY",1,1
"3370","PRICHARD","MOBILE COUNTY","00002584","2003",9,0,9,"MOBILE COUNTY","1997","COUNTY",1,1
"3371","PRICHARD","MOBILE COUNTY","A0770128","2009",46,0,46,"MOBILE COUNTY","1997","COUNTY",1,1
"3372","PRICHARD","MOBILE COUNTY","A0100018","2005",67,4,59,"MOBILE COUNTY","1997","COUNTY",1,1
"3373","PRICHARD","MOBILE COUNTY","A0792001","2013",9,0,9,"MOBILE COUNTY","1997","COUNTY",1,1
"3374","PRICHARD","MOBILE COUNTY","A0770128","2013",20,0,20,"MOBILE COUNTY","1997","COUNTY",1,1
"3375","PRICHARD","MOBILE COUNTY","00002584","1999",21,0,21,"MOBILE COUNTY","1997","COUNTY",1,1
"3376","PRICHARD","MOBILE COUNTY","00000383","2003",119,0,119,"MOBILE COUNTY","1997","COUNTY",1,1
"3377","PRICHARD","MOBILE COUNTY","A0770128","2007",53,0,53,"MOBILE COUNTY","1997","COUNTY",1,1
"3378","PRICHARD","MOBILE COUNTY","A0770180","2007",6,0,6,"MOBILE COUNTY","1997","COUNTY",1,1
"3379","PRICHARD","MOBILE COUNTY","A0900001","2009",156,25,123,"MOBILE COUNTY","1997","COUNTY",1,1
"3380","PRICHARD","MOBILE COUNTY","A0100018","2007",99,0,99,"MOBILE COUNTY","1997","COUNTY",1,1
"3381","PRICHARD","MOBILE COUNTY","00002584","1993",120,0,120,"MOBILE COUNTY","1997","COUNTY",1,1
"3382","PRICHARD","MOBILE COUNTY","00000383","1999",144,0,143,"MOBILE COUNTY","1997","COUNTY",1,1
"3383","RAINBOW CITY","ETOWAH COUNTY","00001037","1999",527,509,9,"ETOWAH COUNTY","2007","COUNTY",1,1
"3384","RAINBOW CITY","ETOWAH COUNTY","00001037","1995",394,383,4,"ETOWAH COUNTY","2007","COUNTY",1,1
"3385","RAINBOW CITY","ETOWAH COUNTY","A0700031","2011",514,475,27,"ETOWAH COUNTY","2007","COUNTY",1,1
"3386","RAINBOW CITY","ETOWAH COUNTY","A0700031","2007",563,537,15,"ETOWAH COUNTY","2007","COUNTY",1,1
"3387","RAINBOW CITY","ETOWAH COUNTY","00001037","2001",521,511,8,"ETOWAH COUNTY","2007","COUNTY",1,1
"3388","RAINBOW CITY","ETOWAH COUNTY","A0700031","2009",548,508,22,"ETOWAH COUNTY","2007","COUNTY",1,1
"3389","RAINBOW CITY","ETOWAH COUNTY","00001037","1997",424,409,7,"ETOWAH COUNTY","2007","COUNTY",1,1
"3390","RAINBOW CITY","ETOWAH COUNTY","00001037","2003",501,491,3,"ETOWAH COUNTY","2007","COUNTY",1,1
"3391","RAINBOW CITY","ETOWAH COUNTY","K9300028","1997",70,68,0,"ETOWAH COUNTY","2007","COUNTY",1,1
"3392","RAINBOW CITY","ETOWAH COUNTY","A0700031","2013",572,507,56,"ETOWAH COUNTY","2007","COUNTY",1,1
"3393","RAINSVILLE","DEKALB COUNTY","A0770032","2011",269,265,1,"DEKALB COUNTY","2006","COUNTY",1,1
"3394","RAINSVILLE","DEKALB COUNTY","A0770032","2009",182,180,0,"DEKALB COUNTY","2006","COUNTY",1,1
"3395","RAINSVILLE","DEKALB COUNTY","A0770032","2013",300,295,3,"DEKALB COUNTY","2006","COUNTY",1,1
"3396","RAINSVILLE","DEKALB COUNTY","A0770032","2007",170,168,0,"DEKALB COUNTY","2006","COUNTY",1,1
"3397","ROANOKE","RANDOLPH COUNTY","A9500007","2001",18,6,12,"ROANOKE CITY","2007","CITY",1,1
"3398","ROANOKE","RANDOLPH COUNTY","A9500007","1995",39,36,2,"ROANOKE CITY","2007","CITY",1,1
"3399","ROANOKE","RANDOLPH COUNTY","A9900080","2001",28,28,0,"ROANOKE CITY","2007","CITY",1,1
"3400","ROANOKE","RANDOLPH COUNTY","A9900080","2009",41,32,8,"ROANOKE CITY","2007","CITY",1,1
"3401","ROANOKE","RANDOLPH COUNTY","A9500007","1997",25,17,6,"ROANOKE CITY","2007","CITY",1,1
"3402","ROANOKE","RANDOLPH COUNTY","A9900080","2011",57,47,9,"ROANOKE CITY","2007","CITY",1,1
"3403","ROANOKE","RANDOLPH COUNTY","A9900080","2003",48,0,1,"ROANOKE CITY","2007","CITY",1,1
"3404","ROANOKE","RANDOLPH COUNTY","A9500007","1999",40,34,4,"ROANOKE CITY","2007","CITY",1,1
"3405","ROANOKE","RANDOLPH COUNTY","A9500007","2003",22,8,14,"ROANOKE CITY","2007","CITY",1,1
"3406","ROBERTSDALE","BALDWIN COUNTY","A9900024","2007",98,93,3,"BALDWIN COUNTY","1977","COUNTY",1,1
"3407","ROBERTSDALE","BALDWIN COUNTY","00001682","2001",131,128,3,"BALDWIN COUNTY","1977","COUNTY",1,1
"3408","ROBERTSDALE","BALDWIN COUNTY","00001682","2005",222,211,5,"BALDWIN COUNTY","1977","COUNTY",1,1
"3409","ROBERTSDALE","BALDWIN COUNTY","01604001","2003",178,167,2,"BALDWIN COUNTY","1977","COUNTY",1,1
"3410","ROBERTSDALE","BALDWIN COUNTY","00001682","1995",125,124,1,"BALDWIN COUNTY","1977","COUNTY",1,1
"3411","ROBERTSDALE","BALDWIN COUNTY","A9900024","2001",132,130,0,"BALDWIN COUNTY","1977","COUNTY",1,1
"3412","ROBERTSDALE","BALDWIN COUNTY","01604001","1999",168,161,4,"BALDWIN COUNTY","1977","COUNTY",1,1
"3413","ROBERTSDALE","BALDWIN COUNTY","A9900024","2005",87,84,1,"BALDWIN COUNTY","1977","COUNTY",1,1
"3414","ROBERTSDALE","BALDWIN COUNTY","01604001","1995",178,173,5,"BALDWIN COUNTY","1977","COUNTY",1,1
"3415","ROBERTSDALE","BALDWIN COUNTY","01604001","2005",189,179,2,"BALDWIN COUNTY","1977","COUNTY",1,1
"3416","ROBERTSDALE","BALDWIN COUNTY","A9900024","1999",125,123,1,"BALDWIN COUNTY","1977","COUNTY",1,1
"3417","ROBERTSDALE","BALDWIN COUNTY","01604001","2007",186,165,2,"BALDWIN COUNTY","1977","COUNTY",1,1
"3418","ROBERTSDALE","BALDWIN COUNTY","01604001","2013",175,155,0,"BALDWIN COUNTY","1977","COUNTY",1,1
"3419","ROBERTSDALE","BALDWIN COUNTY","00001682","2013",238,215,5,"BALDWIN COUNTY","1977","COUNTY",1,1
"3420","ROBERTSDALE","BALDWIN COUNTY","00001682","2003",179,174,3,"BALDWIN COUNTY","1977","COUNTY",1,1
"3421","ROBERTSDALE","BALDWIN COUNTY","00001682","1999",125,121,3,"BALDWIN COUNTY","1977","COUNTY",1,1
"3422","ROBERTSDALE","BALDWIN COUNTY","00001682","2007",261,248,6,"BALDWIN COUNTY","1977","COUNTY",1,1
"3423","ROBERTSDALE","BALDWIN COUNTY","00001682","2009",290,277,6,"BALDWIN COUNTY","1977","COUNTY",1,1
"3424","ROBERTSDALE","BALDWIN COUNTY","00001682","1997",114,105,4,"BALDWIN COUNTY","1977","COUNTY",1,1
"3425","ROBERTSDALE","BALDWIN COUNTY","01604001","2011",190,171,0,"BALDWIN COUNTY","1977","COUNTY",1,1
"3426","ROBERTSDALE","BALDWIN COUNTY","01604001","1993",169,168,1,"BALDWIN COUNTY","1977","COUNTY",1,1
"3427","ROBERTSDALE","BALDWIN COUNTY","A9900024","2003",90,85,1,"BALDWIN COUNTY","1977","COUNTY",1,1
"3428","ROBERTSDALE","BALDWIN COUNTY","01604001","2001",188,176,3,"BALDWIN COUNTY","1977","COUNTY",1,1
"3429","ROBERTSDALE","BALDWIN COUNTY","01604001","1997",164,159,5,"BALDWIN COUNTY","1977","COUNTY",1,1
"3430","ROBERTSDALE","BALDWIN COUNTY","00001682","2011",291,274,6,"BALDWIN COUNTY","1977","COUNTY",1,1
"3431","ROBERTSDALE","BALDWIN COUNTY","01604001","2009",187,166,1,"BALDWIN COUNTY","1977","COUNTY",1,1
"3432","ROCK CREEK","JEFFERSON COUNTY","AA000695","2001",14,14,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3433","ROCK CREEK","JEFFERSON COUNTY","AA000695","1995",9,9,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3434","ROCK CREEK","JEFFERSON COUNTY","AA000695","2003",22,22,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3435","ROCK CREEK","JEFFERSON COUNTY","AA000695","1999",24,21,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3436","ROCK CREEK","JEFFERSON COUNTY","AA000695","1997",25,22,0,"JEFFERSON COUNTY","STILL OPEN","COUNTY",0,1
"3437","SARALAND","MOBILE COUNTY","00002325","1993",536,534,2,"MOBILE COUNTY","1997","COUNTY",1,1
"3438","SARALAND","MOBILE COUNTY","A9302021","2001",187,176,10,"MOBILE COUNTY","1997","COUNTY",1,1
"3439","SARALAND","MOBILE COUNTY","00002325","2003",142,134,6,"MOBILE COUNTY","1997","COUNTY",1,1
