"","PIN","DISTRICT","YEAR","COUNTY","CITY","NUMSTUDS","WHITE","BLACK","YEAR_LIFTED","DISMISSED","region","PRIVATE"
"3690","4.95992507047717e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",802,10,787,"1983",1,"CITY",0
"3691","4.95992507097123e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",659,7,652,"1983",1,"CITY",0
"3732","4.9599250714653e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",480,2,478,"1983",1,"CITY",0
"3733","4.95992507195936e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",733,4,729,"1983",1,"CITY",0
"3734","4.95992507344156e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",657,2,614,"1983",1,"CITY",0
"3740","4.95992511049648e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",180,0,180,"1983",1,"CITY",0
"3741","4.95992507739409e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",441,54,348,"1983",1,"CITY",0
"3742","4.95992507838222e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",208,0,207,"1983",1,"CITY",0
"3743","4.95992507887628e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",1088,2,1086,"1983",1,"CITY",0
"3744","4.95992508134661e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",355,2,353,"1983",1,"CITY",0
"3745","4.95992508184068e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",431,16,409,"1983",1,"CITY",0
"3746","4.95992508282881e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",306,46,253,"1983",1,"CITY",0
"3747","4.959925084311e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",509,2,506,"1983",1,"CITY",0
"3748","4.95992508480507e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",612,2,609,"1983",1,"CITY",0
"3749","4.9599250857932e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",473,0,473,"1983",1,"CITY",0
"3750","4.95992508628727e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",296,0,294,"1983",1,"CITY",0
"3752","4.9599250872754e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",675,0,675,"1983",1,"CITY",0
"3753","4.95992508776946e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",336,38,294,"1983",1,"CITY",0
"3767","4.95992509913297e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",238,0,235,"1983",1,"CITY",0
"3768","4.95992509962704e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",703,0,703,"1983",1,"CITY",0
"3769","4.95992510012111e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",1117,0,1117,"1983",1,"CITY",0
"3777","4.95992507442969e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",476,90,382,"1983",1,"CITY",0
"3816","4.95992507393563e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",826,4,818,"1983",1,"CITY",0
"3818","4.95992507541782e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",338,0,338,"1983",1,"CITY",0
"3819","4.95992507591189e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",249,3,246,"1983",1,"CITY",0
"3820","4.95992507690002e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",35,0,35,"1983",1,"CITY",0
"3850","4.95992505466707e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",6,0,6,"1983",1,"CITY",0
"3851","4.95992505763146e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",5,0,5,"1983",1,"CITY",0
"3880","4.95992509122792e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",216,0,216,"1983",1,"CITY",0
"3891","4.95992510259143e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",359,0,359,"1983",1,"CITY",0
"3901","4.95992510950835e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",664,10,648,"1983",1,"CITY",0
"3935","4.95992588074483e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",555,4,551,"1983",1,"CITY",0
"3938","4.95992588914394e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",592,15,573,"1983",1,"CITY",0
"3939","4.95992589013207e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",12,1,11,"1983",1,"CITY",0
"3940","4.95992589062614e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",18,2,16,"1983",1,"CITY",0
"3997","4.95992508826353e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",1650,46,1587,"1983",1,"CITY",0
"3998","4.9599250887576e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",467,3,459,"1983",1,"CITY",0
"3999","4.95992508925166e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",356,1,355,"1983",1,"CITY",0
"4000","4.95992509023979e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",586,0,586,"1983",1,"CITY",0
"4247","4.95992509221606e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",389,0,389,"1983",1,"CITY",0
"4248","4.95992509271012e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",488,2,486,"1983",1,"CITY",0
"4249","4.95992509320419e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",312,1,310,"1983",1,"CITY",0
"4250","4.95992509518045e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",355,73,279,"1983",1,"CITY",0
"4251","4.95992509567451e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","ENSLEY",622,2,618,"1983",1,"CITY",0
"4252","4.95992509666265e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",276,0,276,"1983",1,"CITY",0
"4258","4.9599251030855e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",164,3,161,"1983",1,"CITY",0
"4259","4.95992510407363e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",292,1,291,"1983",1,"CITY",0
"4260","4.9599251045677e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",212,2,210,"1983",1,"CITY",0
"4261","4.95992510506176e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",409,23,379,"1983",1,"CITY",0
"4262","4.95992510555583e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",687,26,622,"1983",1,"CITY",0
"4263","4.95992510604989e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",142,0,142,"1983",1,"CITY",0
"4264","4.95992510654396e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",181,0,181,"1983",1,"CITY",0
"4265","4.95992510703802e-314","BIRMINGHAM CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",510,15,403,"1983",1,"CITY",0
"13665","5.01180216733961e-314","FAIRFIELD CITY","2001","JEFFERSON COUNTY","FAIRFIELD",363,0,363,"STILL OPEN",0,"CITY",0
"13671","5.01180216635148e-314","FAIRFIELD CITY","2001","JEFFERSON COUNTY","FAIRFIELD",710,0,708,"STILL OPEN",0,"CITY",0
"13672","5.01180216684554e-314","FAIRFIELD CITY","2001","JEFFERSON COUNTY","FAIRFIELD",605,0,601,"STILL OPEN",0,"CITY",0
"13683","5.01180216585741e-314","FAIRFIELD CITY","2001","JEFFERSON COUNTY","FAIRFIELD",359,0,355,"STILL OPEN",0,"CITY",0
"13756","5.01180216783368e-314","FAIRFIELD CITY","2001","JEFFERSON COUNTY","FAIRFIELD",285,0,285,"STILL OPEN",0,"CITY",0
"16137","5.02761231148431e-314","HOMEWOOD CITY","2001","JEFFERSON COUNTY","HOMEWOOD",502,351,118,"STILL OPEN",0,"CITY",0
"16167","5.02761231346057e-314","HOMEWOOD CITY","2001","JEFFERSON COUNTY","HOMEWOOD",446,318,95,"STILL OPEN",0,"CITY",0
"16178","5.02761231197837e-314","HOMEWOOD CITY","2001","JEFFERSON COUNTY","HOMEWOOD",493,251,191,"STILL OPEN",0,"CITY",0
"16179","5.02761231247244e-314","HOMEWOOD CITY","2001","JEFFERSON COUNTY","HOMEWOOD",1019,746,219,"STILL OPEN",0,"CITY",0
"16181","5.0276123129665e-314","HOMEWOOD CITY","2001","JEFFERSON COUNTY","HOMEWOOD",761,528,182,"STILL OPEN",0,"CITY",0
"16225","4.94100247086468e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",1050,786,174,"STILL OPEN",0,"CITY",0
"16228","4.94100242837503e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",2409,2026,242,"STILL OPEN",0,"CITY",0
"16240","4.94100316305065e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",540,492,21,"STILL OPEN",0,"CITY",0
"16241","4.94100316354471e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",485,323,101,"STILL OPEN",0,"CITY",0
"16288","4.94100242689283e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",574,525,29,"STILL OPEN",0,"CITY",0
"16289","4.94100234932453e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",903,677,98,"STILL OPEN",0,"CITY",0
"16294","4.94100303706391e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",467,379,62,"STILL OPEN",0,"CITY",0
"16295","4.94100302372413e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",621,522,77,"STILL OPEN",0,"CITY",0
"16297","4.94100316403878e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",484,325,72,"STILL OPEN",0,"CITY",0
"16298","4.94100316453284e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",819,652,105,"STILL OPEN",0,"CITY",0
"16299","4.94100316502691e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",445,247,117,"STILL OPEN",0,"CITY",0
"16300","4.94100316552098e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",278,216,48,"STILL OPEN",0,"CITY",0
"16414","4.94100247333501e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",514,466,35,"STILL OPEN",0,"CITY",0
"16415","4.9410030069259e-314","HOOVER CITY","2001","JEFFERSON COUNTY","HOOVER",715,623,44,"STILL OPEN",0,"CITY",0
"18664","5.0355178934324e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","TRUSSVILLE",899,860,26,"STILL OPEN",0,"COUNTY",0
"18692","5.035517928017e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","ADAMSVILLE",1224,530,685,"STILL OPEN",0,"COUNTY",0
"19364","5.03551729413077e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","PINSON",1390,1220,155,"STILL OPEN",0,"COUNTY",0
"19365","5.03551729561297e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","TRUSSVILLE",1150,961,172,"STILL OPEN",0,"COUNTY",0
"19366","5.03551730104769e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","MCCALLA",811,628,179,"STILL OPEN",0,"COUNTY",0
"19367","5.03551739887269e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","ADAMSVILLE",395,247,141,"STILL OPEN",0,"COUNTY",0
"19368","5.03551740035489e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","DORA",690,689,0,"STILL OPEN",0,"COUNTY",0
"19369","5.03551740183708e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","ADAMSVILLE",971,394,563,"STILL OPEN",0,"COUNTY",0
"19370","5.03551740282521e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","GARDENDALE",507,439,65,"STILL OPEN",0,"COUNTY",0
"19371","5.03551740381335e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BRIGHTON",487,16,463,"STILL OPEN",0,"COUNTY",0
"19372","5.03551740430741e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","GRAYSVILLE",314,235,72,"STILL OPEN",0,"COUNTY",0
"19373","5.03551740480148e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",663,563,83,"STILL OPEN",0,"COUNTY",0
"19374","5.03551740529554e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",495,116,347,"STILL OPEN",0,"COUNTY",0
"19375","5.03551740578961e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",1052,679,348,"STILL OPEN",0,"COUNTY",0
"19376","5.03551740628367e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","CLAY",870,841,20,"STILL OPEN",0,"COUNTY",0
"19377","5.03551740677774e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BESSEMER",370,365,1,"STILL OPEN",0,"COUNTY",0
"19378","5.03551740727181e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","WARRIOR",996,995,0,"STILL OPEN",0,"COUNTY",0
"19379","5.03551740776587e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",481,185,293,"STILL OPEN",0,"COUNTY",0
"19380","5.035517408754e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",556,154,382,"STILL OPEN",0,"COUNTY",0
"19381","5.03551740924807e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",1199,398,773,"STILL OPEN",0,"COUNTY",0
"19382","5.03551740974213e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","FULTONDALE",705,506,167,"STILL OPEN",0,"COUNTY",0
"19383","5.0355174102362e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",486,407,62,"STILL OPEN",0,"COUNTY",0
"19384","5.03551741073027e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","GARDENDALE",686,628,45,"STILL OPEN",0,"COUNTY",0
"19385","5.03551741122433e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","GARDENDALE",901,781,115,"STILL OPEN",0,"COUNTY",0
"19386","5.03551741320059e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BESSEMER",176,134,35,"STILL OPEN",0,"COUNTY",0
"19387","5.03551741418872e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","TRUSSVILLE",1312,1234,43,"STILL OPEN",0,"COUNTY",0
"19388","5.03551741468279e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","TRUSSVILLE",621,577,32,"STILL OPEN",0,"COUNTY",0
"19389","5.03551741517686e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","TRUSSVILLE",923,859,43,"STILL OPEN",0,"COUNTY",0
"19390","5.03551741567092e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",247,3,239,"STILL OPEN",0,"COUNTY",0
"19391","5.03551741616499e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","HUEYTOWN",766,508,252,"STILL OPEN",0,"COUNTY",0
"19392","5.03551741665905e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","HUEYTOWN",995,629,358,"STILL OPEN",0,"COUNTY",0
"19393","5.03551741715312e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","IRONDALE",285,129,141,"STILL OPEN",0,"COUNTY",0
"19394","5.03551741764718e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",33,15,18,"STILL OPEN",0,"COUNTY",0
"19395","5.03551741814125e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","MORRIS",826,806,16,"STILL OPEN",0,"COUNTY",0
"19396","5.03551741863532e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","LEEDS",672,460,185,"STILL OPEN",0,"COUNTY",0
"19397","5.03551741912938e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","LEEDS",372,234,130,"STILL OPEN",0,"COUNTY",0
"19398","5.03551741962345e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","LEEDS",363,225,124,"STILL OPEN",0,"COUNTY",0
"19399","5.03551742011751e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","LIPSCOMB",208,32,171,"STILL OPEN",0,"COUNTY",0
"19400","5.03551742061158e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","MCCALLA",1467,918,540,"STILL OPEN",0,"COUNTY",0
"19401","5.03551742159971e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",430,269,158,"STILL OPEN",0,"COUNTY",0
"19402","5.03551742209377e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","MORRIS",845,835,6,"STILL OPEN",0,"COUNTY",0
"19403","5.03551742258784e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","MOUNT OLIVE",437,437,0,"STILL OPEN",0,"COUNTY",0
"19404","5.03551742308191e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","HUEYTOWN",421,380,40,"STILL OPEN",0,"COUNTY",0
"19405","5.03551742357597e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",684,458,216,"STILL OPEN",0,"COUNTY",0
"19406","5.03551742407004e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BESSEMER",823,779,40,"STILL OPEN",0,"COUNTY",0
"19407","5.0355174245641e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","PINSON",1209,1005,157,"STILL OPEN",0,"COUNTY",0
"19408","5.03551742505817e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","PINSON",992,835,130,"STILL OPEN",0,"COUNTY",0
"19409","5.03551742555223e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","HUEYTOWN",821,637,182,"STILL OPEN",0,"COUNTY",0
"19410","5.0355174260463e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","PLEASANT GROVE",898,682,209,"STILL OPEN",0,"COUNTY",0
"19411","5.03551742654037e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","PLEASANT GROVE",953,626,323,"STILL OPEN",0,"COUNTY",0
"19412","5.03551742802256e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","GARDENDALE",293,283,5,"STILL OPEN",0,"COUNTY",0
"19413","5.03551742999883e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","IRONDALE",1183,815,345,"STILL OPEN",0,"COUNTY",0
"19414","5.03551743246915e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","WARRIOR",535,397,138,"STILL OPEN",0,"COUNTY",0
"19415","5.03551743296322e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","QUINTON",196,181,15,"STILL OPEN",0,"COUNTY",0
"19417","5.03551778029137e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BESSEMER",632,613,17,"STILL OPEN",0,"COUNTY",0
"19418","5.03551782278101e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",263,116,111,"STILL OPEN",0,"COUNTY",0
"19419","5.03551782426321e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","PINSON",304,237,65,"STILL OPEN",0,"COUNTY",0
"19420","5.03551782475728e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","PINSON",862,699,133,"STILL OPEN",0,"COUNTY",0
"19421","5.03551789244427e-314","JEFFERSON COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",47,39,8,"STILL OPEN",0,"COUNTY",0
"23714","5.05676232539765e-314","MIDFIELD CITY","2001","JEFFERSON COUNTY","MIDFIELD",331,35,290,"2006",1,"CITY",0
"23715","5.05676232589171e-314","MIDFIELD CITY","2001","JEFFERSON COUNTY","MIDFIELD",430,36,385,"2006",1,"CITY",0
"23726","5.05676232490358e-314","MIDFIELD CITY","2001","JEFFERSON COUNTY","MIDFIELD",401,37,364,"2006",1,"CITY",0
"32247","5.09035893654642e-314","SHELBY COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",1464,1353,62,"STILL OPEN",0,"COUNTY",0
"32249","5.09035903733581e-314","SHELBY COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",899,802,51,"STILL OPEN",0,"COUNTY",0
"32255","5.09035914998278e-314","SHELBY COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",643,549,53,"STILL OPEN",0,"COUNTY",0
"32257","5.09035924039679e-314","SHELBY COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",802,740,29,"STILL OPEN",0,"COUNTY",0
"32471","5.0903584103665e-314","SHELBY COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",1267,1170,56,"STILL OPEN",0,"COUNTY",0
"32472","5.09035850917963e-314","SHELBY COUNTY","2001","JEFFERSON COUNTY","BIRMINGHAM",799,731,30,"STILL OPEN",0,"COUNTY",0
"34116","5.10221653674989e-314","TARRANT CITY","2001","JEFFERSON COUNTY","TARRANT",513,293,203,"STILL OPEN",0,"CITY",0
"34130","5.10221653724395e-314","TARRANT CITY","2001","JEFFERSON COUNTY","TARRANT",425,211,202,"STILL OPEN",0,"CITY",0
"34131","5.10221653773802e-314","TARRANT CITY","2001","JEFFERSON COUNTY","TARRANT",449,220,211,"STILL OPEN",0,"CITY",0
"35919","5.11012161820948e-314","VESTAVIA HILLS CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",556,477,53,"2007",1,"CITY",0
"35920","5.11012161870355e-314","VESTAVIA HILLS CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",521,476,17,"2007",1,"CITY",0
"35921","5.11012161919762e-314","VESTAVIA HILLS CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",1436,1280,73,"2007",1,"CITY",0
"35922","5.11012167897956e-314","VESTAVIA HILLS CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",331,312,8,"2007",1,"CITY",0
"35923","5.11012184300935e-314","VESTAVIA HILLS CITY","2001","JEFFERSON COUNTY","BIRMINGHAM",597,529,33,"2007",1,"CITY",0
"35961","5.11012161771542e-314","VESTAVIA HILLS CITY","2001","JEFFERSON COUNTY","VESTAVIA HILLS",1103,990,58,"2007",1,"CITY",0
"36503","5.11110975394776e-314","WALKER COUNTY","2001","JEFFERSON COUNTY","DORA",424,348,74,"1977",1,"COUNTY",0
"36513","5.11110976135874e-314","WALKER COUNTY","2001","JEFFERSON COUNTY","DORA",294,184,107,"1977",1,"COUNTY",0
"20153","5.03700010914442e-314","LAMAR COUNTY","2001","LAMAR COUNTY","MILLPORT",635,518,117,"STILL OPEN",0,"COUNTY",0
"20195","5.0369996333592e-314","LAMAR COUNTY","2001","LAMAR COUNTY","VERNON",1048,901,138,"STILL OPEN",0,"COUNTY",0
"20221","5.03699963286514e-314","LAMAR COUNTY","2001","LAMAR COUNTY","SULLIGENT",960,738,214,"STILL OPEN",0,"COUNTY",0
"13987","5.0162487665513e-314","FLORENCE CITY","2001","LAUDERDALE COUNTY","FLORENCE",394,147,201,"STILL OPEN",0,"CITY",0
"14015","5.01624876704536e-314","FLORENCE CITY","2001","LAUDERDALE COUNTY","FLORENCE",475,276,190,"STILL OPEN",0,"CITY",0
"14026","5.01624876605723e-314","FLORENCE CITY","2001","LAUDERDALE COUNTY","FLORENCE",488,198,279,"STILL OPEN",0,"CITY",0
"14058","5.01624932435141e-314","FLORENCE CITY","2001","LAUDERDALE COUNTY","FLORENCE",533,314,215,"STILL OPEN",0,"CITY",0
"14134","5.01624876309284e-314","FLORENCE CITY","2001","LAUDERDALE COUNTY","FLORENCE",807,562,234,"STILL OPEN",0,"CITY",0
"14135","5.0162487635869e-314","FLORENCE CITY","2001","LAUDERDALE COUNTY","FLORENCE",331,221,106,"STILL OPEN",0,"CITY",0
"14136","5.01624876457503e-314","FLORENCE CITY","2001","LAUDERDALE COUNTY","FLORENCE",633,403,220,"STILL OPEN",0,"CITY",0
"14137","5.0162487650691e-314","FLORENCE CITY","2001","LAUDERDALE COUNTY","FLORENCE",663,469,184,"STILL OPEN",0,"CITY",0
"20375","5.03996441655798e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","KILLEN",980,916,44,"STILL OPEN",0,"COUNTY",0
"20414","5.03996403612743e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","FLORENCE",1394,1386,3,"STILL OPEN",0,"COUNTY",0
"20452","5.0399640336571e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","LEXINGTON",875,874,0,"STILL OPEN",0,"COUNTY",0
"20453","5.03996403464523e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","FLORENCE",1271,1262,0,"STILL OPEN",0,"COUNTY",0
"20532","5.03996403316304e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","FLORENCE",133,126,5,"STILL OPEN",0,"COUNTY",0
"20575","5.0399640351393e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","FLORENCE",286,284,2,"STILL OPEN",0,"COUNTY",0
"20576","5.03996403563337e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","WATERLOO",360,355,5,"STILL OPEN",0,"COUNTY",0
"20612","5.03996403217491e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","ROGERSVILLE",944,878,59,"STILL OPEN",0,"COUNTY",0
"20638","5.03996403168084e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","FLORENCE",227,226,1,"STILL OPEN",0,"COUNTY",0
"20644","5.03996403019864e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","ANDERSON",244,244,0,"STILL OPEN",0,"COUNTY",0
"20646","5.03996403118678e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","FLORENCE",1272,1141,116,"STILL OPEN",0,"COUNTY",0
"20647","5.03996402970458e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","KILLEN",20,20,0,"STILL OPEN",0,"COUNTY",0
"20649","5.03996403069271e-314","LAUDERDALE COUNTY","2001","LAUDERDALE COUNTY","KILLEN",775,730,35,"STILL OPEN",0,"COUNTY",0
"20788","5.04144623602935e-314","LAWRENCE COUNTY","2001","LAWRENCE COUNTY","TOWN CREEK",314,114,190,"STILL OPEN",0,"COUNTY",0
"20789","5.04144623652341e-314","LAWRENCE COUNTY","2001","LAWRENCE COUNTY","TOWN CREEK",242,92,138,"STILL OPEN",0,"COUNTY",0
"20792","5.04144623849968e-314","LAWRENCE COUNTY","2001","LAWRENCE COUNTY","MOULTON",549,446,40,"STILL OPEN",0,"COUNTY",0
"20793","5.04144623899374e-314","LAWRENCE COUNTY","2001","LAWRENCE COUNTY","MT HOPE",327,255,21,"STILL OPEN",0,"COUNTY",0
